,datadate,tic,adjcp,open,high,low,volume,macd,boll,boll_ub,boll_lb,rsi_30,cci_30,dx_30,dma,close_30_sma,close_60_sma,kdjk,trix,turbulence
17,20090128,SPY,87.39,86.4,87.95,86.07,329873500.0,-0.7219047244294501,86.89177777777778,94.76640489666015,79.0171506588954,43.4200482638616,7.494523181221433,26.041669221341223,-2.9007777777778045,86.89177777777778,86.89177777777778,62.6553425724158,-0.4376652041726986,0.0
18,20090129,SPY,84.55,86.11,87.4901,84.47,294306700.0,-0.6876485802859662,86.76852631578947,94.49635111735832,79.04070151422063,37.89345895964297,-25.0215342066927,34.582431121439136,-2.7595263157895005,86.76852631578947,86.76852631578947,60.757570153762416,-0.4046955233377233,0.0
19,20090130,SPY,82.83,84.98,85.4,82.21,383282400.0,-0.7650648068586889,86.57159999999999,94.29678959467559,78.84641040532439,35.094841499315905,-64.27184758446461,44.29541388915693,-2.719600000000014,86.57159999999999,86.57159999999999,52.23500457508211,-0.3814637449676734,0.0
20,20090202,SPY,82.58,81.57,83.18,81.31,287986600.0,-0.8322488832126567,86.05259999999998,93.35374812600692,78.75145187399305,34.70939759292719,-83.17853243109077,47.60695121950663,-2.777523809523828,86.3815238095238,86.3815238095238,44.22618843329893,-0.3651045181279256,0.0
21,20090203,SPY,83.74,83.1,84.36,82.22,278318300.0,-0.796538473913543,85.59709999999998,92.21765802704525,78.97654197295472,37.97902114076681,-58.48369085604404,36.25442502616235,-2.3404545454545485,86.26145454545453,86.26145454545453,43.80210213529774,-0.34723567954790585,0.0
22,20090204,SPY,83.33,84.3,85.37,83.04,322653000.0,-0.7872548428313308,85.09009999999998,90.63830414377951,79.54189585622045,37.29611688622019,-47.25887785740342,27.296542305948464,-2.2849999999999966,86.13399999999999,86.13399999999999,41.667526084778444,-0.3301809501389055,0.0
23,20090205,SPY,84.57,82.7,85.29,77.73,417477000.0,-0.6855061505691538,84.78509999999997,89.67315038737053,79.89704961262942,40.635774485329115,-74.25059002679477,46.91165431003676,-2.0378333333333245,86.06883333333332,86.06883333333332,50.087548374849,-0.30799415702747385,0.0
24,20090206,SPY,86.979,84.86,87.34,84.68,365725200.0,-0.43088336007727435,84.58194999999998,88.64282688093405,80.5210731190659,46.37571500867809,8.054870215963632,32.19302697011796,-1.6873399999999776,86.10523999999998,86.10523999999998,63.55803942537225,-0.2724311036028677,0.0
25,20090209,SPY,87.1,86.96,87.74,86.32,239233300.0,-0.21912659468735285,84.48244999999999,88.15742886710709,80.80747113289289,46.64377961184445,23.806622367133862,29.487152975624547,-1.383599999999987,86.14349999999997,86.14349999999997,72.9330178034771,-0.22964584566871332,0.0
26,20090210,SPY,83.11,86.27,87.03,82.45,535895100.0,-0.334397182795513,84.29044999999998,87.82102374046224,80.75987625953772,39.848588424063976,-40.90524906463958,41.80651124584506,-1.413248148148142,86.03114814814813,86.03114814814813,66.53742978440265,-0.20191273717901687,0.0
27,20090211,SPY,83.6,83.45,84.05,82.4,324406600.0,-0.38534231031947286,84.11494999999998,87.39549459374938,80.83440540625058,40.941627928699326,-59.11565406793382,41.946589367729494,-1.7054214285713982,85.9443214285714,85.9443214285714,63.905406070054624,-0.18212554425536606,0.0
28,20090212,SPY,83.66,82.17,83.82,81.05,468794800.0,-0.4162848989420098,84.07944999999998,87.3637377926976,80.79516220730235,41.07725657326208,-69.07668416467622,45.717800221287725,-1.7156517241378992,85.8655517241379,85.8655517241379,62.35052379362283,-0.1674590771085075,0.0
29,20090213,SPY,82.76,83.55,84.24,82.74,293715600.0,-0.5009760771487066,83.99744999999997,87.32958416517644,80.6653158348235,39.663811578795034,-58.182679424252875,42.63629892516936,-1.6191333333333233,85.76203333333332,85.76203333333332,58.31693261233198,-0.1601104552639724,0.0
30,20090217,SPY,79.22,80.16,82.958,79.17,478265000.0,-0.820223872681936,83.70544999999997,87.61843908360606,79.79246091639388,34.79248801576364,-122.9229004510515,51.88200160216931,-1.7440999999999747,85.30403333333331,85.55099999999997,43.83966003659293,-0.17240440939860313,0.0
31,20090218,SPY,79.03,79.79,79.94,78.28,362356900.0,-1.0741638697299436,83.62844999999997,87.84969334265318,79.40720665734676,34.55684196079203,-158.4840346733969,53.86367134282144,-2.0113187499999867,84.84336666666665,85.34721874999998,33.55544435339961,-0.19598742659340262,0.0
32,20090219,SPY,78.181,79.84,80.15,78.02,315719800.0,-1.32310768494699,83.33499999999998,88.19979300149221,78.47020699850775,33.507788083133136,-171.19989738518368,54.44949107431617,-2.309060606060598,84.33373333333333,85.1300606060606,22.922422435874093,-0.22790181928799386,0.0
33,20090220,SPY,77.42,76.73,78.34,75.77,476967600.0,-1.5591432910105851,83.06849999999999,88.60572440445232,77.53127559554765,32.59039883630864,-214.23971468461139,59.23749693989707,-2.7972941176470556,83.89206666666665,84.90329411764705,19.87643534154348,-0.26538011779343385,0.0
34,20090223,SPY,74.65,78.27,78.27,74.59,378919600.0,-1.933083755452742,82.6455,89.34082275075977,75.95017724924023,29.544579958128452,-239.38500475686502,61.505892951408406,-3.7372428571428458,83.34566666666666,84.61034285714284,13.41172859854239,-0.31501865703502835,0.0
35,20090224,SPY,77.48,75.29,77.95,74.7003,426139900.0,-1.990513315273148,82.3355,89.39345701766149,75.2775429823385,35.87817373433667,-190.71282500136996,61.505892951408406,-4.501177777777784,82.95866666666666,84.41227777777777,18.92388124186074,-0.3556714368882222,0.0
36,20090225,SPY,76.872,77.14,78.42,75.63,461709400.0,-2.0584690333328552,81.95259999999999,89.33282750754722,74.57237249245276,35.17540044362313,-163.73646123342317,57.51631624352107,-4.921186486486491,82.62273333333333,84.20848648648648,20.49847695916795,-0.3898103942411409,0.0
37,20090226,SPY,75.62,77.82,79.6667,75.53,363095700.0,-2.182933521282962,81.3641,88.79563607129415,73.93256392870583,33.76645432501702,-145.59325446014628,47.20556137980063,-5.493173684210518,82.23973333333332,83.9824736842105,17.2235096826232,-0.42204942083319735,0.0
38,20090227,SPY,73.93,74.01,75.6872,73.81,470430700.0,-2.383918382241717,80.8331,88.80421065100248,72.86198934899753,31.977865789134512,-181.44239425216355,51.853494494417404,-6.208417948717937,81.89173333333332,83.72471794871792,11.919593833015394,-0.4571722185792082,0.0
39,20090302,SPY,70.6,72.52,73.9169,70.37,426171400.0,-2.7682480169962673,80.2216,89.34136978933816,71.10183021066183,28.86165387929387,-209.16299497541524,59.48013646613363,-7.096299999999985,81.43173333333331,83.39659999999998,8.730308635779826,-0.5050944496231652,0.0
40,20090303,SPY,70.07,71.61,71.7,69.64,443277000.0,-3.0779594777469583,79.5961,89.69796415105223,69.49423584894778,28.40588907202823,-199.00663734843695,60.88564308663476,-7.6862609756097555,80.93206666666666,83.07156097560974,7.183986283669241,-0.558747518738674,0.0
41,20090304,SPY,71.73,71.23,72.87,70.0729,461728200.0,-3.157532204939386,78.9956,89.48085780924409,68.5103421907559,31.890717138894928,-156.33754527978724,51.86084623322902,-8.146223809523804,80.63739999999999,82.80152380952379,11.737439388197945,-0.6036125295432727,0.0
42,20090305,SPY,68.8,70.1,71.73,68.17,485124800.0,-3.4094891235208564,78.26910000000001,89.47835547835116,67.05984452164886,29.287727057192797,-166.92121108666623,56.13842635896452,-8.758706976744193,80.12906666666665,82.47590697674417,9.651570706625673,-0.651570033931413,0.0
43,20090306,SPY,68.92,69.4,70.45,67.1,490389400.0,-3.558439319444375,77.48660000000001,89.02403011428903,65.94916988571099,29.531418701582055,-157.87415642960147,58.36233808009237,-9.300618181818194,79.66806666666665,82.16781818181818,11.26195387274586,-0.6960525767267569,0.0
44,20090309,SPY,68.11,67.95,70.0,67.73,379708400.0,-3.6970699100180155,76.54315,87.89676205265104,65.18953794734895,28.83746585084816,-144.4663097669971,58.36233808009237,-9.64222222222223,79.16806666666665,81.85542222222222,10.18700723513389,-0.7372786591903839,0.0
