,datadate,tic,adjcp,open,high,low,volume,macd,boll,boll_ub,boll_lb,rsi_30,cci_30,dx_30,dma,close_30_sma,close_60_sma,kdjk,trix,turbulence
0,20100104,DIA,105.66,104.84,105.87,104.76,8976506,0.0,105.66,105.81541630560342,105.33458369439656,0.0,-66.66666666666667,100.0,0.0,105.66,105.66,60.36036036036011,-0.025570230727847063,0.0
1,20100105,DIA,105.49,105.61,105.67,104.97,6549154,-0.0038141025640925363,105.57499999999999,105.81541630560342,105.33458369439656,0.0,-66.66666666666667,100.0,0.0,105.57499999999999,105.57499999999999,62.16216216216169,-0.025570230727847063,0.0
2,20100106,DIA,105.56,105.5,105.85,105.36,6796218,-0.002689227904369318,105.57,105.74088007490634,105.39911992509364,29.871977240400284,100.0,100.0,0.0,105.57,105.57,65.46546546546509,-0.014978826647814131,0.0
3,20100107,DIA,105.94,105.38,106.02,104.9499,6311447,0.011608048556425388,105.6625,106.05793225294185,105.26706774705814,73.80878231080652,81.47207450327215,41.783629155027874,0.0,105.6625,105.6625,74.86057486057463,0.0011801456855777973,0.0
4,20100108,DIA,106.11,105.67,106.11,105.44,4911727,0.025897287331972052,105.752,106.27876370414067,105.22523629585932,79.69596816490309,139.6146229258173,21.566222333892636,0.0,105.752,105.752,83.24038324038308,0.01314228799998539,0.0
5,20100111,DIA,106.54,106.4,106.66,105.82,6839880,0.05238732655341494,105.88333333333333,106.68079597613654,105.08587069053011,87.21536691211159,156.19757303618812,37.0612626189154,0.0,105.88333333333333,105.88333333333333,86.72165900236081,0.02588448033095808,0.0
6,20100112,DIA,106.14,105.85,106.42,105.58,8862419,0.05035261925307566,105.91999999999999,106.67339232807349,105.16660767192649,64.30000855409061,67.3976698776202,11.890621527836581,0.0,105.91999999999999,105.91999999999999,82.0249656506967,0.03072421781072608,0.0
7,20100113,DIA,106.75,106.33,106.99,106.035,8618756,0.07719016556495717,106.02374999999999,106.93532242483211,105.11217757516788,74.76144341441838,137.3740940856105,39.90782490731301,0.0,106.02374999999999,106.02374999999999,84.42919982094284,0.03728684148807265,0.0
8,20100114,DIA,107.03,106.64,107.15,106.58,7035197,0.10849199965025491,106.13555555555554,107.22050307092721,105.05060804018387,77.84434206516646,142.51844283003587,45.142035115035725,0.0,106.13555555555554,106.13555555555554,87.94582637993113,0.04491452401988471,0.0
9,20100115,DIA,106.01,106.94,106.98,105.5376,14025810,0.0765787145545147,106.123,107.1489759581329,105.09702404186712,53.30634783001421,28.316496425333693,9.659587787293248,0.0,106.123,106.123,74.6919420688413,0.044851011869543315,0.0
10,20100119,DIA,107.17,105.9,107.23,105.86,10877400,0.11424337767553538,106.21818181818183,107.37834795048595,105.05801568587772,65.93806510203267,102.94792490368064,0.018491964183593442,0.055818181818168,106.21818181818183,106.21818181818183,82.25080686846043,0.04807824205797905,0.0
11,20100120,DIA,106.02,106.5,106.54,105.13,11891580,0.07713235805034913,106.20166666666667,107.31374362062047,105.08958971271286,51.617384585933074,-24.997595321990556,21.583608766402424,0.1253333333333302,106.20166666666667,106.20166666666667,70.47792194517092,0.04593983977450191,0.0
12,20100121,DIA,103.71,105.97,106.11,103.71,22240490,-0.08190104400718212,106.01,107.75468717348795,104.26531282651206,35.56632145624013,-191.88563290379616,45.88621216115465,0.132000000000005,106.01,106.01,46.98528129678061,0.02985291733728117,0.0
13,20100122,DIA,101.63,103.38,103.86,101.5499,24604090,-0.3204247762986654,105.69714285714288,108.57655977003371,102.81772594425205,27.578147562678254,-300.07327178748415,64.01910563731957,0.013857142857133908,105.69714285714288,105.69714285714288,31.793583011313608,-0.001304748660435657,0.0
14,20100125,DIA,101.91,102.39,102.52,101.67,18235850,-0.47960353736431216,105.44466666666669,108.83929154951284,102.05004178382055,29.77459476451203,-227.3819407212253,64.01910563731958,-0.15366666666666617,105.44466666666669,105.44466666666669,23.30894771366261,-0.03602809778701162,0.0
15,20100126,DIA,101.88,101.66,103.06,101.48,18344130,-0.5961787938827285,105.22187500000001,108.95442886208069,101.48932113791933,29.674841749550907,-166.63733986837883,49.690596967933324,-0.3968749999999659,105.22187500000001,105.22187500000001,17.858139055485168,-0.06965046159930394,0.0
16,20100127,DIA,102.3,101.67,102.51,100.99,16202950,-0.6516936356512133,105.05000000000001,108.93200978875636,101.16799021124366,32.92919707410617,-143.9192710820531,53.62064010993029,-0.6089999999999804,105.05000000000001,105.05000000000001,18.903289284853358,-0.09795690250939396,0.0
17,20100128,DIA,101.2,102.59,102.62,100.51,13407480,-0.7555635458614347,104.83611111111112,109.01671134321342,100.65551087900883,29.26056911426474,-139.33275383348382,57.12762989046247,-0.9501111111110845,104.83611111111112,104.83611111111112,16.024811904187942,-0.12517762592804937,0.0
18,20100129,DIA,100.55,101.56,102.355,100.41,14560540,-0.867895205147903,104.61052631578949,109.12428047482244,100.09677215675653,27.394893741019814,-131.9453749097701,57.837628083433934,-1.3725263157894574,104.61052631578949,104.61052631578949,11.36746991070985,-0.1518064141976426,0.0
19,20100201,DIA,101.84,101.21,102.35,101.07,9955329,-0.8599135929422346,104.47200000000001,109.0367371515957,99.90726284840432,35.79905438701624,-97.68929373615583,57.837628083433934,-1.650999999999982,104.47200000000001,104.47200000000001,15.354278472284024,-0.1706122955873087,0.0
20,20100202,DIA,102.88,101.95,103.1,101.6801,8889994,-0.7746346985595522,104.33300000000001,108.91469400986145,99.75130599013858,41.451184835997495,-65.01108255125878,38.22028491691353,-2.004190476190459,104.39619047619048,104.39619047619048,24.680630092633777,-0.17900404444141504,0.0
21,20100203,DIA,102.63,102.62,103.06,102.34,6561299,-0.7161498823014796,104.19000000000003,108.79809813491998,99.58190186508007,40.56314530006606,-57.720748544868364,38.22028491691352,-2.2629090909090763,104.3159090909091,104.3159090909091,37.903028757407995,-0.1810272337132234,0.0
22,20100204,DIA,100.04,101.95,102.07,100.01,16402210,-0.8382614137315585,103.91400000000003,108.82770328774545,99.00029671225461,32.98880308376448,-115.44965786901301,57.13363164910358,-2.4440000000000026,104.13000000000001,104.13000000000001,25.592310433741265,-0.18809192749187204,0.0
23,20100205,DIA,100.16,100.15,100.34,98.36,28938590,-0.9149589286233777,103.62500000000003,108.71376367986116,98.5362363201389,33.583226368783855,-137.01705712410234,65.1987243845996,-2.4255833333333214,103.96458333333334,103.96458333333334,29.7197681372621,-0.1964947826177068,0.0
24,20100208,DIA,99.22,100.0,100.38,99.12,10912370,-1.029178613733066,103.2805,108.58906101029274,97.97193898970727,31.33109424307662,-127.0481426193948,64.3971814608865,-2.504799999999989,103.7748,103.7748,25.86099873004534,-0.20783181589375274,0.0
25,20100209,DIA,100.65,100.16,101.49,99.84,19227620,-1.0056220751425968,102.98600000000002,108.18558459879253,97.7864154012075,37.88635408850662,-89.33661306299203,43.712812873653306,-2.507615384615363,103.65461538461538,103.65461538461538,33.344744582336894,-0.2142141507254032,0.0
26,20100210,DIA,100.52,100.55,100.97,99.75,11198680,-0.9847320033907039,102.70500000000001,107.79314307974929,97.61685692025074,37.549251843786664,-91.70834832673566,44.32001078607476,-2.5695185185184926,103.53851851851852,103.53851851851852,37.419703139279434,-0.21690903109235748,0.0
27,20100211,DIA,101.58,100.42,101.75,99.87,9932307,-0.8811709716740381,102.44650000000001,107.18249553253706,97.71050446746297,41.909112525529224,-70.03999498320749,31.20724430119901,-2.4615714285714034,103.46857142857142,103.46857142857142,47.5906319100119,-0.21260524027308364,0.0
28,20100212,DIA,101.27,100.53,101.37,99.99,13642830,-0.8124686738869542,102.15850000000002,106.39512365569571,97.92187634430432,41.04225980452866,-72.92836282366179,31.207244301198994,-2.313758620689626,103.39275862068965,103.39275862068965,52.19122296110498,-0.20470913267990795,0.0
29,20100216,DIA,102.81,102.01,102.97,101.59,8958332,-0.6375553414541741,101.99850000000002,105.84656321755716,98.15043678244288,46.70710974986746,-26.600691990028945,8.170137828922483,-2.1973333333333045,103.37333333333332,103.37333333333332,66.3544323286799,-0.18887349300150214,0.0
30,20100217,DIA,103.38,103.16,103.44,102.95,8783955,-0.4518678550809483,101.80900000000001,104.8794698766082,98.73853012339183,48.598162390580114,-0.6578123579524483,2.518011497806025,-2.147548387096762,103.29733333333334,103.37354838709678,77.17592076505167,-0.1665192655650037,0.0
31,20100218,DIA,104.17,103.17,104.3001,103.16,8642494,-0.24340254374507708,101.71650000000002,104.33033585841525,99.1026641415848,51.086659607501325,20.583249534328885,6.989189817134784,-2.0184374999999903,103.25333333333334,103.3984375,84.05388090396721,-0.13820976742522031,0.0
32,20100219,DIA,103.99,103.7,104.39,103.415,9323918,-0.09098033627348912,101.7305,104.39186075206501,99.069139247935,50.510282160087726,24.82123560606144,7.9430474305378365,-1.6413636363636215,103.20100000000001,103.41636363636363,86.83920966020327,-0.10824622868934942,0.0
33,20100222,DIA,103.84,104.38,104.38,103.71,5284828,0.018071007155640473,101.84100000000001,104.6634356782565,99.01856432174351,50.02374314756528,28.994428443966342,7.943047430537822,-1.2858235294117577,103.13100000000001,103.42882352941176,87.2749903481815,-0.07934130552221942,0.0
34,20100223,DIA,102.87,103.61,104.14,102.69,10808780,0.030547003470871914,101.889,104.74878210432385,99.02921789567614,46.99545323942522,7.265928037246564,4.7246723005658025,-0.9048571428571393,103.023,103.41285714285713,80.59712000223597,-0.056109959430046125,0.0
35,20100224,DIA,103.7,103.18,103.95,102.99,9658696,0.10237050977463014,101.97999999999999,104.95219394422801,99.00780605577197,49.69129276195075,23.007522088287057,4.724672300565802,-0.6078333333333319,102.92833333333333,103.42083333333332,81.97625109293608,-0.03462901232066569,0.0
36,20100225,DIA,103.3,102.25,103.34,101.92,10052800,0.12717288678445016,102.03,105.0579817839959,99.0020182160041,48.462463475491106,0.9688432878823297,16.474555859900626,-0.32656756756757943,102.83366666666667,103.41756756756756,79.72659163771495,-0.016887972618063102,0.0
37,20100226,DIA,103.3,103.35,103.61,102.78,6957382,0.14511892522703818,102.135,105.18733991347112,99.08266008652889,48.462463475491106,22.45115135238791,12.72468907068019,-0.1514736842105293,102.71866666666668,103.41447368421052,73.50820394895277,-0.0024863577866317244,0.0
38,20100301,DIA,104.02,103.67,104.2,103.58,5816908,0.2123069077795634,102.30850000000001,105.37594038675836,99.24105961324166,50.80584901825651,62.04877945504432,4.840351866787252,0.10799999999998988,102.61833333333334,103.42999999999999,77.3455502709617,0.011547291951202548,0.0
39,20100302,DIA,104.01,104.43,104.64,103.95,5672294,0.2616946155914519,102.417,105.5670649951524,99.2669350048476,50.772679364848756,81.79185659589167,0.6966467965691222,0.21349999999999625,102.55166666666668,103.44449999999999,77.1764452786804,0.024377457983989267,0.0
40,20100303,DIA,104.09,104.35,104.77,103.83,5890001,0.3034838675014555,102.4775,105.71039588286942,99.24460411713059,51.03722856709903,93.29655587840922,2.3258673634225837,0.2687560975609813,102.44900000000001,103.46024390243902,76.83108047818466,0.03584914379457896,0.0
